,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
336,2014,2014-01-04,Qatar,Kuwait,3,0
337,2014,2014-01-07,Qatar,Jordan,2,0
338,2014,2014-03-05,Qatar,Bahrain,0,0
339,2014,2014-03-05,Wales,Iceland,3,1
340,2014,2014-07-14,Qatar,Indonesia,2,2
341,2014,2014-09-09,Qatar,Peru,0,2
342,2014,2014-10-06,Qatar,Uzbekistan,3,0
343,2014,2014-10-09,Qatar,Lebanon,5,0
344,2014,2014-10-10,Wales,Bosnia and Herzegovina,0,0
345,2014,2014-10-13,Wales,Cyprus,2,1
346,2014,2014-10-14,Qatar,Australia,1,0
347,2014,2014-11-06,Qatar,Korea DPR,3,1
348,2014,2014-12-27,Qatar,Estonia,3,0
349,2014,2014-12-31,Qatar,Oman,2,2
751,2014,2014-05-23,Bulgaria,Canada,1,1
752,2014,2014-05-27,Moldova,Canada,1,1
753,2014,2014-05-30,North Macedonia,Qatar,0,0
754,2014,2014-06-04,Netherlands,Wales,2,0
755,2014,2014-09-03,Morocco,Qatar,0,0
756,2014,2014-09-09,Andorra,Wales,1,2
757,2014,2014-11-13,Saudi Arabia,Qatar,1,1
758,2014,2014-11-16,Belgium,Wales,0,0
759,2014,2014-11-16,Yemen,Qatar,0,0
760,2014,2014-11-18,Panama,Canada,0,0
761,2014,2014-11-19,Bahrain,Qatar,0,0
762,2014,2014-11-23,Oman,Qatar,1,3
763,2014,2014-11-26,Saudi Arabia,Qatar,1,2
403,2018,2018-03-24,Canada,New Zealand,1,0
404,2018,2018-03-24,Qatar,Syria,2,2
405,2018,2018-03-26,Wales,Uruguay,0,1
406,2018,2018-09-06,Wales,Republic of Ireland,4,1
407,2018,2018-09-07,Qatar,China PR,1,0
408,2018,2018-09-11,Qatar,Palestine,3,0
409,2018,2018-10-11,Wales,Spain,1,4
410,2018,2018-10-12,Qatar,Ecuador,4,3
411,2018,2018-10-16,Canada,Dominica,5,0
412,2018,2018-11-16,Wales,Denmark,1,2
413,2018,2018-12-23,Qatar,Jordan,2,0
414,2018,2018-12-25,Qatar,Kyrgyz Republic,1,0
415,2018,2018-12-27,Qatar,Algeria,0,1
416,2018,2018-12-31,Qatar,IR Iran,1,2
807,2018,2018-03-21,Iraq,Qatar,2,3
808,2018,2018-03-22,China PR,Wales,0,6
809,2018,2018-05-28,Mexico,Wales,0,0
810,2018,2018-09-09,Denmark,Wales,2,0
811,2018,2018-09-09,US Virgin Islands,Canada,0,8
812,2018,2018-10-16,Republic of Ireland,Wales,0,1
813,2018,2018-10-16,Uzbekistan,Qatar,2,0
814,2018,2018-11-14,Switzerland,Qatar,0,1
815,2018,2018-11-18,St. Kitts and Nevis,Canada,0,1
816,2018,2018-11-19,Iceland,Qatar,2,2
817,2018,2018-11-20,Albania,Wales,1,0
